,title,location,date,link
1,Service Coordinator," (Ipswich, MA)",Jan 23,https://boston.craigslist.org/nos/ofc/d/service-coordinator/6801728233.html
2,► OFFICE ASSISTANT IN BOSTON - Remote / Telecommute Optional◄, (Boston),Jan 23,https://boston.craigslist.org/gbs/ofc/d/office-assistant-in-boston-remote/6801684401.html
3,Senior Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan 22,https://boston.craigslist.org/gbs/ofc/d/boston-senior-administrative-assistant/6801436111.html
4,"Administrative Assistant, Conformable Decoders", (Cambridge),Jan 22,https://boston.craigslist.org/gbs/ofc/d/cambridge-administrative-assistant/6801431025.html
5,Global Sourcing Coordinator," (Mansfield, MA)",Jan 22,https://boston.craigslist.org/gbs/ofc/d/mansfield-global-sourcing-coordinator/6801383011.html
6,Real estate company-  Full time office assistant, (North End- Boston),Jan 22,https://boston.craigslist.org/gbs/ofc/d/boston-real-estate-company-full-time/6801382598.html
7,College Admissions Executive Administrative Assistant, (Downtown Boston),Jan 22,https://boston.craigslist.org/gbs/ofc/d/boston-college-admissions-executive/6801378667.html
8,Office Administrator/Accounts Payable Clerk - Full Time Position, (Norwood),Jan 22,https://boston.craigslist.org/sob/ofc/d/norwood-office-administrator-accounts/6801332382.html
9,Receptionist," (Wellesley, MA)",Jan 22,https://boston.craigslist.org/bmw/ofc/d/newton-lower-falls-receptionist/6801315090.html
10,Case Manager, (medfield),Jan 22,https://boston.craigslist.org/sob/ofc/d/medfield-case-manager/6801307301.html
11,Seeking Administrative Assistant for Biotech Firm," (Boston, MA)",Jan 22,https://boston.craigslist.org/gbs/ofc/d/boston-seeking-administrative-assistant/6801281874.html
12,Office Coordinator," (Newburyport, MA)",Jan 22,https://boston.craigslist.org/nwb/ofc/d/newburyport-office-coordinator/6801268413.html
13,Automotive Service Assistant Manager, (Foxboro),Jan 22,https://boston.craigslist.org/bmw/ofc/d/south-walpole-automotive-service/6801224578.html
14,Assistant Portfolio Property Manager, (Boston/North Shore),Jan 22,https://boston.craigslist.org/nos/ofc/d/melrose-assistant-portfolio-property/6801177599.html
15,Administrative Assistance," (Lexington, MA)",Jan 22,https://boston.craigslist.org/nos/ofc/d/lexington-administrative-assistance/6801160955.html
16,Andover Asst Property Manager, (Merrimac Valley),Jan 22,https://boston.craigslist.org/nwb/ofc/d/andover-andover-asst-property-manager/6801153855.html
17,Office Administrator, (Port Jefferson),Jan 22,https://boston.craigslist.org/sob/ofc/d/braintree-office-administrator/6801135762.html
18,"Call Center/Customer Service Representatives Needed in Woburn, MA!", (Woburn),Jan 22,https://boston.craigslist.org/nwb/ofc/d/woburn-call-center-customer-service/6801131213.html
19,PT Administrative Assistant/Receptionist with Graphic Design Skills, (Harvard Square),Jan 22,https://boston.craigslist.org/gbs/ofc/d/cambridge-pt-administrative-assistant/6801128922.html
20,Sales Coordinator," (Braintree, MA)",Jan 22,https://boston.craigslist.org/sob/ofc/d/braintree-sales-coordinator/6801121150.html
21,Front Desk Receptionist / Administrative Assistant, (Roslindale),Jan 22,https://boston.craigslist.org/gbs/ofc/d/roslindale-front-desk-receptionist/6801105021.html
22,Weekend Leasing Consultant, (Waltham),Jan 22,https://boston.craigslist.org/gbs/ofc/d/waltham-weekend-leasing-consultant/6801069467.html
23,Client Service Representatives (Start as early as next week!), (Boston),Jan 22,https://boston.craigslist.org/gbs/ofc/d/boston-client-service-representatives/6801064524.html
24,Executive Assistant," (Waltham, MA)",Jan 22,https://boston.craigslist.org/gbs/ofc/d/waltham-executive-assistant/6801058260.html
25,Office Clerk (S_719590),N/A,Jan 22,https://boston.craigslist.org/sob/ofc/d/canton-office-clerk-s719590/6801057980.html
26,Office Manager Assistant, (Rowley),Jan 22,https://boston.craigslist.org/nos/ofc/d/rowley-office-manager-assistant/6801025577.html
27,Receptionist / Administrative Assistant," (Littleton, MA)",Jan 22,https://boston.craigslist.org/bmw/ofc/d/littleton-receptionist-administrative/6801012496.html
28,Experienced Executive Assistant, (Boston),Jan 22,https://boston.craigslist.org/gbs/ofc/d/boston-experienced-executive-assistant/6800989723.html
29,Medical Receptionist/Patient Coordinator," (Saugus, MA)",Jan 22,https://boston.craigslist.org/nos/ofc/d/saugus-medical-receptionist-patient/6800974463.html
30,Office Worker- Writer- Personal assistant, (Southshore),Jan 21,https://boston.craigslist.org/sob/ofc/d/brockton-office-worker-writer-personal/6800676389.html
31,Holistic Nutrition Company Hiring!, (Framingham Ma),Jan 21,https://boston.craigslist.org/bmw/ofc/d/framingham-holistic-nutrition-company/6800603300.html
32,Receptionist- Full Time," (Newton,  MA)",Jan 21,https://boston.craigslist.org/gbs/ofc/d/newton-receptionist-full-time/6800574536.html
33,Executive Assistant to President and Controller,N/A,Jan 21,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-to-president/6800534274.html
34,Bilingual (Spanish) office admin at law firm," (boston, ma)",Jan 21,https://boston.craigslist.org/gbs/ofc/d/boston-bilingual-spanish-office-admin/6800524672.html
35,Part Time Exec/Personal Assistant for Startup CEO, (salem),Jan 21,https://boston.craigslist.org/nos/ofc/d/salem-part-time-exec-personal-assistant/6800503614.html
36,Operations Assistant," (Billerica, MA)",Jan 21,https://boston.craigslist.org/nwb/ofc/d/billerica-operations-assistant/6800490790.html
37,DATA ENTRY SPECIALIST(CONTRACT), (Wellesley),Jan 21,https://boston.craigslist.org/bmw/ofc/d/wellesley-hills-data-entry/6800482661.html
38,Special Projects-Oriented EA Needed to Support CEO!," (Boston, MA)",Jan 21,https://boston.craigslist.org/gbs/ofc/d/special-projects-oriented-ea-needed-to/6800451312.html
39,Seeking Extraordinary Client Services and Education Coordinator, (Wellesley),Jan 21,https://boston.craigslist.org/bmw/ofc/d/seeking-extraordinary-client-services/6800438873.html
40,Customer Service Administrator-Dispatcher, (Sharon),Jan 21,https://boston.craigslist.org/sob/ofc/d/sharon-customer-service-administrator/6800388955.html
41,Patient Coordinator, (Jamaica Plain),Jan 21,https://boston.craigslist.org/gbs/ofc/d/jamaica-plain-patient-coordinator/6800310866.html
42,Part Time Office Help Needed, (Brockton),Jan 21,https://boston.craigslist.org/sob/ofc/d/west-bridgewater-part-time-office-help/6800227581.html
43,Full Time Home Care Program Coordinator/Bi-lingual," (Newton, MA)",Jan 21,https://boston.craigslist.org/gbs/ofc/d/full-time-home-care-program-coordinator/6800186052.html
44,Administrative / Office Assistant,N/A,Jan 21,https://boston.craigslist.org/sob/ofc/d/administrative-office-assistant/6800184221.html
45,Executive Assistant to the Director, (Cambridge),Jan 21,https://boston.craigslist.org/gbs/ofc/d/cambridge-executive-assistant-to-the/6800105656.html
46,Automotive Accounting Pro!," (Woburn, MA)",Jan 21,https://boston.craigslist.org/gbs/ofc/d/automotive-accounting-pro/6800085561.html
47,WEIGHT LOSS & CHIROPRACTIC CLINIC TEAM MEMBER, (Gloucester),Jan 21,https://boston.craigslist.org/nos/ofc/d/weight-loss-chiropractic-clinic-team/6800036695.html
48,Information Researcher - Android Users- Remote Position, (Boston),Jan 21,https://boston.craigslist.org/gbs/ofc/d/boston-information-researcher-android/6799999582.html
49,CHIROPRACTIC OFFICE ADMIN, (NEEDHAM),Jan 20,https://boston.craigslist.org/bmw/ofc/d/chiropractic-office-admin/6799919258.html
50,Administrative Assistant," (Roslindale, MA)",Jan 20,https://boston.craigslist.org/gbs/ofc/d/roslindale-administrative-assistant/6799787644.html
51,Start your new career with us, (Norwell),Jan 20,https://boston.craigslist.org/sob/ofc/d/norwell-start-your-new-career-with-us/6799395498.html
52,P/T Office Administrator, (Medford),Jan 19,https://boston.craigslist.org/gbs/ofc/d/medford-t-office-administrator/6799275807.html
53,Office admin/order processing - biotech company, (Lawrence MA),Jan 19,https://boston.craigslist.org/nwb/ofc/d/office-admin-order-processing-biotech/6799110815.html
54,Admin/mortgage processor, (Essex county),Jan 19,https://boston.craigslist.org/nwb/ofc/d/lawrence-admin-mortgage-processor/6798865530.html
55,Execuitive Assistant at Consulting Firm," (Boston, MA)",Jan 19,https://boston.craigslist.org/gbs/ofc/d/boston-execuitive-assistant-at/6798781754.html
56,Full Time Receptionist-Veterinary Hospital," (Newburyport, MA)",Jan 19,https://boston.craigslist.org/nos/ofc/d/newburyport-full-time-receptionist/6798743739.html
57,Part-Time Professional Office Administrator," (Canton, MA)",Jan 18,https://boston.craigslist.org/sob/ofc/d/canton-part-time-professional-office/6798385328.html
58,Part Time Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan 18,https://boston.craigslist.org/gbs/ofc/d/cambridge-part-time-administrative/6798343535.html
59,Office Assistant," (Dedham, MA)",Jan 18,https://boston.craigslist.org/bmw/ofc/d/dedham-office-assistant/6798328995.html
60,Student Affairs Assistant, (Cambridge),Jan 18,https://boston.craigslist.org/gbs/ofc/d/student-affairs-assistant/6798314829.html
61,Executive Assistant to the VP of Finance   [6820_2217], (Boston),Jan 18,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-to-the-vp-of/6798311800.html
62,Bookkeeper wanted, (Braintree),Jan 18,https://boston.craigslist.org/sob/ofc/d/braintree-bookkeeper-wanted/6798250850.html
63,Temp to Hire Receptionist, (Boston: Boston/Cambridge/Brookline),Jan 18,https://boston.craigslist.org/gbs/ofc/d/boston-temp-to-hire-receptionist/6798232017.html
64,Account Rep/Bookkeeper, (South Shore),Jan 18,https://boston.craigslist.org/sob/ofc/d/account-rep-bookkeeper/6798173905.html
65,Staff Accounting/Administrative Assistant, (Boston),Jan 18,https://boston.craigslist.org/gbs/ofc/d/boston-staff-accounting-administrative/6798098827.html
66,Intake Coordinator,N/A,Jan 18,https://boston.craigslist.org/sob/ofc/d/stoughton-intake-coordinator/6798039903.html
67,Office Manager [INTERIM Feb-May; 20 hours/week), (East Boston),Jan 18,https://boston.craigslist.org/gbs/ofc/d/boston-office-manager-interim-feb-may/6797923197.html
68,HVAC Project Managers & Assistant Project Managers, (Weston MA),Jan 18,https://boston.craigslist.org/gbs/ofc/d/weston-hvac-project-managers-assistant/6797901939.html
69,Dental Office Manager, (West Roxbury),Jan 18,https://boston.craigslist.org/gbs/ofc/d/west-roxbury-dental-office-manager/6797899038.html
70,Customer Service Coordinator, (North Reading),Jan 18,https://boston.craigslist.org/nos/ofc/d/north-reading-customer-service/6797894338.html
71,Executive Assistant: Financial C-Suite,N/A,Jan 18,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-financial/6797858454.html
72,Office Administrator / Accounts Receivable Associate," (Beverly, MA)",Jan 18,https://boston.craigslist.org/nos/ofc/d/beverly-office-administrator-accounts/6797817123.html
