name,rating,actor
Anand,8.7,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan"
Drishyam,8.6,"Jeethu Joseph (dir.), Mohanlal, Meena"
Nayakan,8.6,"Mani Ratnam (dir.), Kamal Haasan, Saranya Ponvannan"
Uri: The Surgical Strike,8.5,"Aditya Dhar (dir.), Vicky Kaushal, Paresh Rawal"
Anbe Sivam,8.5,"Sundar C. (dir.), Kamal Haasan, Madhavan"
Gol Maal,8.5,"Hrishikesh Mukherjee (dir.), Amol Palekar, Bindiya Goswami"
Andhadhun,8.5,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu"
Vikram Vedha,8.5,"Gayatri (dir.), Vijay Sethupathi, Madhavan"
Black Friday,8.5,"Anurag Kashyap (dir.), Kay Kay Menon, Pavan Malhotra"
Ratsasan,8.4,"Ram Kumar (dir.), Radha Ravi, Sangili Murugan"
Dangal,8.4,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
Pather Panchali,8.4,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
Taare Zameen Par,8.4,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
Aruvi,8.4,"Arun Prabhu Purushothaman (dir.), Aditi Balan, Padmashri Mohammad Ali"
3 Idiots,8.4,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
96,8.3,"C. Prem Kumar (dir.), Vijay Sethupathi, Trisha Krishnan"
Jaane Bhi Do Yaaro,8.3,"Kundan Shah (dir.), Naseeruddin Shah, Ravi Baswani"
Thalapathi,8.3,"Mani Ratnam (dir.), Rajinikanth, Mammootty"
Manichithrathazhu,8.3,"Fazil (dir.), Mohanlal, Shobana"
Guide,8.3,"Vijay Anand (dir.), Dev Anand, Waheeda Rehman"
Chupke Chupke,8.3,"Hrishikesh Mukherjee (dir.), Dharmendra, Sharmila Tagore"
Thani Oruvan,8.3,"Mohan Raja (dir.), Jayam Ravi, Arvind Swamy"
Kannathil Muthamittal,8.2,"Mani Ratnam (dir.), Madhavan, Simran"
Khosla Ka Ghosla!,8.2,"Dibakar Banerjee (dir.), Anupam Kher, Boman Irani"
Apur Sansar,8.2,"Satyajit Ray (dir.), Soumitra Chatterjee, Sharmila Tagore"
Dhuruvangal Pathinaaru,8.2,"Karthick Naren (dir.), Rahman, Prakash Raghavan"
Vada Chennai,8.2,"Vetrimaaran (dir.), Dhanush, Ameer Sultan"
Talvar,8.2,"Meghna Gulzar (dir.), Irrfan Khan, Konkona Sen Sharma"
Shahid,8.2,"Hansal Mehta (dir.), Rajkummar Rao, Mohammed Zeeshan Ayyub"
Drishyam,8.2,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran"
